en|Personation (rather than impersonation) is a primarily-legal term, meaning 'to assume the identity of another
en|person with intent to deceive'. It is often used for the kind of voter fraud
en|where an individual votes in an election, whilst pretending to be a different elector. It
en|Personation appears as a crime in the Canadian Criminal Code with the meaning simply of
en|In the U.S., the New York State Penal Law defines the crime of false personation
en|as simply the act of pretending to be another, a Class B misdemeanor; those who
en|assume the identity of another in order to further another crime can be charged with
en|second-degree criminal impersonation, a Class A misdemeanor. Posing as a police officer for any reason,
en|or as a physician in order to forge a prescription or otherwise obtain substances so
en|Many jurisdictions allow electors to nominate an individual to vote on their behalf, often known
en|as proxy voting. Whilst voting with an invalid proxy form could be considered personation, it
en|is usual for an intent to deceive to be required for such an act to
en|Personation is an offence in law in England and Wales: see English criminal law#Forgery, personation
en|Henry Leander Marsh III (born December 10, 1933) is an American civil rights lawyer and
en|politician. A Democrat, in 1977 Marsh was elected by the city council as the first
en|African-American mayor of Richmond. He was elected to the Senate of Virginia in 1991, and
en|resigned his seat in 2014. Marsh represented the 16th district, consisting of the city of
en|Petersburg, Dinwiddie County, and parts of the city of Richmond, and Chesterfield and Prince George
en|counties. Marsh is now a commissioner on the Virginia Department of the Alcoholic Beverage Control
en|Board, a position to which he received appointment from Governor Terry McAuliffe promptly after his
en|Born in 1933, Henry L. Marsh III was named for his father and grandfather. His
en|mother died when he was only five, and his father had to split up the
en|young family of four children for several years. Marsh was sent to an aunt and
en|uncle who lived in a rural area. While there, he attended Moonfield School, a racially
en|segregated "one-room school with seven grades and one teacher and 78 pupils." His father was
en|able to gather his children together again when Marsh was eleven. He started school in
en|Richmond in fifth grade, attending George Mason Elementary School. Through this period, his father was
en|working and also studying, having gone back to college to earn his degree and showing
en|his children how important education was. In 1952, Henry Marsh graduated with honors from Maggie
en|L. Walker High School, where he was senior class vice-president, president of the student NAACP
en|chapter, and editor of the school newspaper. His brother Harold M. Marsh Sr. (d. 1997)
en|also became a prominent civil rights attorney, and later managing partner of Hill, Tucker and
en|In 1956, Marsh obtained an A.B. degree in sociology from Virginia Union University. He attended
en|The State Scenic Highway System in the U.S. state of California is a list of
en|highways, mainly state highways, that have been designated by the California Department of Transportation (Caltrans)
en|as scenic highways. They are marked by the state flower, a California poppy, inside either
en|The California State Legislature makes state highways eligible for designation as a scenic highway, listing
en|them in the Streets and Highways Code, sections 260-284. For a highway to then be
en|declared scenic by Caltrans, the local government with jurisdiction over abutting land must adopt a
en|"scenic corridor protection program" that limits development, outdoor advertising, and earthmoving, and Caltrans must agree
en|that it meets the criteria. The desire to create such a designation has at times
en|been in conflict with the property rights of abutters, for example on State Route 174.
en|Any county highway that is believed to have outstanding scenic qualities is considered eligible, and
en|the county with jurisdiction must follow Caltrans' same approval process as state highways to be
en|California Historic Parkways are defined in the Streets and Highways Code, sections 280-284, as a
en|subset of the State Scenic Highway System. Such historic parkways must have been constructed prior
en|to 1945, and have been determined by either Caltrans or the Office of Historic Preservation
en|in the California Department of Parks and Recreation to have historical significance. They must not
en|at time of designation be traversed by more than 40,000 vehicles per day on an
en|annual daily average basis. They also must be "bounded on one or both sides by
en|federal, state, or local parkland, Native American lands or monuments, or other open space, greenbelt
en|areas, natural habitat or wildlife preserves, or similar acreage used for or dedicated to historical
en|"The Perfect Nanny" is a song from Walt Disney's film Mary Poppins, and it is
en|composed by Richard M. Sherman and Robert B. Sherman. This song is heard at the
en|beginning of the film, and its theme is heard through the film as a leitmotif
en|for the children. It is sung by the characters of Jane Banks (played by Karen
en|Dotrice) and Michael Banks (played by Matthew Garber). It is a lyrical musicalization of a
en|would-be newspaper advertisement, describing in the kids' words what they feel the qualifications are for
en|The song also appears in the Cameron Mackintosh musical stage production. It is unchanged in
en|She graduated from the University of East Anglia with an MA in Creative Writing in
en|She has appeared in soap operas Doctors as Nina Parmar, Coronation Street as Mina Parekh
en|and EastEnders as Manju Patel. Her role as Manju was only supposed to be for
